ID	description
67.3	John Carroll (bishop) (1735â1815), American bishop and founder of Georgetown University
67.4	Other People
67.5	John Carroll (actor) (1906â1979), American actor
67.6	John Carroll Society
67.7	John Carroll (basketball) (born c. 1950s), American basketball coach
67.8	John L. Carroll, American legal academic, dean of Cumberland School of Law in Birmingham, Alabama
67.9	Other
67.10	Sir John Carroll (astronomer) (1899â1974), British scientist
68.1	BlackPlanet, a social networking website geared towards African-Americans
68.2	Other
68.3	Black Planet (song)|Black Planet, a song by The Sisters of Mercy
68.4	a Carbon planet, a proposed planetary type that is actually black.
69.1	Century 21 Real Estate, a real estate franchise
69.2	Century 21 (department store), a chain of department stores in the northeastern United States
69.3	Other
70.1	Coyote Ugly Saloon, a bar in New York City, which spawned multiple franchises all over North America
70.2	Coyote Ugly (film)|Coyote Ugly (film), a 2000 film based on the bar
70.3	Other
71.1	Other
71.2	Mortal Kombat (video game)|Mortal Kombat (video game), the first game in the Mortal Kombat series of games.
71.3	Mortal Kombat (film)|Mortal Kombat (film), a 1995 film based on the first video game.
71.4	Mortal Kombat (2011 video game)|Mortal Kombat (2011 video game), a sequel for the PlayStation 3 and Xbox 360.
71.5	Special:Prefixindex/Mortal Kombat|List of Wikipedia articles beginning with "Mortal Kombat"
72.1	Silent Hill, a series of video games:
72.2	Silent Hill (film)|Silent Hill (film), a 2006 film based on the game series.
72.3	Other
72.4	Silent Hill 2 (film)|Silent Hill 2 (film), the sequel to 2006 movie.
72.5	Silent Hill (video game)|Silent Hill (video game), the first game in the series, released in 1999
72.6	Silent Hill 4: The Room, released in 2004
72.7	Silent Hill 2, released in 2001
72.8	Silent Hill Homecoming, released in 2008
72.9	Silent Hill (comics)|Silent Hill (comics), comic book spin-off from games
73.1	Stone Cold Steve Austin (born 1964), an American actor and retired professional wrestler
73.2	Stone Cold (1991 film)|Stone Cold (1991 film), an action film starring Brian Bosworth
73.3	Other
73.4	Stone Cold, a novel by David Baldacci
73.5	Stone Cold: A Jesse Stone Novel, by Robert B. Parker, turned into a series of television movies starring Tom Selleck
74.1	Independence Day (film)|Independence Day (film), a 1996 science-fiction action film directed by Roland Emmerich
74.2	Independence Day is an annual celebration commemorating the anniversary of a nations assumption of independent statehood.
74.3	Independence Day (Martina McBride song)|"Independence Day" (Martina McBride song)
74.4	Independence Day (novel)|Independence Day (novel), a novel by Richard Ford
74.5	Other
74.6	Independence Day (Bruce Springsteen song)|"Independence Day" (Bruce Springsteen song)
74.7	"Independence Day", a song by Elliott Smith from XO (Elliott Smith album)|XO
74.8	Other Music
75.1	Lemonade Stand - a computer game used to teach basic business, math, and computer skills.
75.2	Lemonade stand (business) - the traditional business of selling lemonade, usually by children.
75.3	Other
76.1	Aurora Borealis is a natural light display
76.2	Other
76.3	Aurora_Borealis_(band)|Aurora Borealis (band), a black metal band from Waldorf, Maryland, U.S.
76.4	Aurora Borealis (film)|Aurora Borealis (film), a 2006 film
77.1	"Agent Orange", is the code name for a powerful herbicide and defoliant used by the U.S. military during the Vietnam War.
77.2	Agent Orange (band), a punk rock band from Orange County, California
77.3	Other
77.4	Agent Orange (cocktail), a mixed alcoholic drink
77.5	Agent Orange (album)|Agent Orange (album), an album by the German thrash metal band Sodom
78.1	Yahoo! Babel Fish, a web translation service
78.2	Babel Fish Corporation, a human-powered translation service developed by Oscar Jofre
78.3	Babel fish (The Hitchhikers Guide to the Galaxy)|Babel fish (The Hitchhikers Guide to the Galaxy), a fictitious animal (in Douglas Adams books), which performs instant translations
78.4	Other
78.5	Babel Fish (band), a Norwegian band
79.1	Far Cry (series)|Far Cry (series), a franchise of first person shooter computer and video games
79.2	Far Cry (film)|Far Cry (film), a 2008 German film adapted from the video game
79.3	Other
80.1	Carrot Top (born 1965), American comedian
80.2	Other
80.3	Carrot top, a pejorative referring to people with red hair
80.4	Carrot Top Records, an American independent record label
81.1	The Last Supper (Leonardo da Vinci)|The Last Supper (Leonardo da Vinci), the famous 1495â1498 painting by Leonardo da Vinci
81.2	The Last Supper refers to the last meal that Jesus Christ took with his disciples
81.3	The Last Supper (1995 film)|The Last Supper (1995 film), a black comedy starring Cameron Diaz
81.4	Other
81.5	Other Film and video
81.6	Last meal, customarily given to a condemned prisoner
81.7	The Last Supper (opera)|The Last Supper (opera), a 2000 opera
81.8	Other Artwork
81.9	Last Supper, a 1447 painting by Andrea del Castagno
82.1	Romeo and Juliet is a tragedy by William Shakespeare
82.2	Other Film and television
82.3	Romeo and Juliet (1968 film)|Romeo and Juliet (1968 film)
82.4	Other
82.5	Romeo and Juliet (Dire Straits song)|"Romeo and Juliet" (Dire Straits song), a 1981 song by the British rock band Dire Straits
82.6	Other Operas and musicals
82.7	Romeo and Juliet (Prokofiev)|Romeo and Juliet (Prokofiev), a ballet score by Sergei Prokofiev
82.8	Romeo + Juliet, 1996 film
82.9	Romeo and Juliet (1936 film)|Romeo and Juliet (1936 film)
82.10	Romeo and Juliet (Tchaikovsky)|Romeo and Juliet (Tchaikovsky), a fantasy-overture by Pyotr Ilyich Tchaikovsky
83.1	The Medal of Honor is a national U.S. military award.
83.2	Medal of Honor (series)|Medal of Honor (series), a video game series
83.3	Medal of Honor (2010 video game)|Medal of Honor (2010 video game), a reboot of the series
83.4	Other Awards
83.5	Other
83.6	IEEE Medal of Honor (known as the IRE Medal of Honor until 1963), of the Institute of Radio Engineers
83.7	Congressional Space Medal of Honor
84.1	Arch of Triumph (1948 film)|Arch of Triumph (1948 film) a 1948 film starring Ingrid Bergman
84.2	Arc de Triomphe, a structure/building in Paris, France
84.3	Arch of Triumph (Pyongyang), a structure in Pyongyang, and the worlds largest Triumphal arch
84.4	Arch of Triumph of the Immaculate Heart of Mary and International Shrine of the Holy Innocents, a proposed structure in Buffalo, New York
84.5	Arch of Triumph (1985 film)|Arch of Triumph (1985 film), a 1985 film, remake of the 1948 film
84.6	Other
84.7	Arcul de Triumf, a structure in Bucharest, Romania
84.8	Arc de Triomf, a structure in Barcelona, Spain
84.9	Arch of Triumph (novel)|Arch of Triumph (novel), an Erich Maria Remarque novel
85.1	Other
85.2	Dead or Alive (series)|Dead or Alive (series), a series primarily composed of fighting games
85.3	Dead or Alive (band), a British New Wave band
85.4	DOA: Dead or Alive, a 2006 film based on the video game series Dead or Alive (see below)
85.5	Wanted Dead or Alive (Bon Jovi song)|"Wanted Dead or Alive" (Bon Jovi song), a 1987 song by Bon Jovi
85.6	Dead or Alive (novel)|Dead or Alive (novel), a 2010 book by Tom Clancy, with an audio version which included narration by actor Lou Diamond Phillips
85.7	Dead or Alive (film)|Dead or Alive (film), a 1999 Japanese yakuza action film, followed by two sequels
85.8	Other Music
86.1	Johnny Cash, American country and western singer, who regularly performed dressed in all black
86.2	The Man in Black (Lost) (also known as the smoke monster and similar), the unnamed antagonist of the TV series Lost
86.3	Other
86.4	Man in Black (film)|Man in Black (film), a 1949 British thriller film
86.5	Men in Black (disambiguation)
86.6	Other Entertainment
86.7	Other Music
87.1	Heaven and Hell (Black Sabbath album)|Heaven and Hell (Black Sabbath album), or the title song (see below)
87.2	Heaven & Hell (band), a band with members of Black Sabbath
87.3	Other
87.4	Heaven and Hell
87.5	Heaven and Hell (Supernatural)|"Heaven and Hell" (Supernatural), an episode of the television series Supernatural
87.6	Heaven and Hell (Swedenborg)|Heaven and Hell (Swedenborg), a book by Emanuel Swedenborg
87.7	The Marriage of Heaven and Hell, an 18th century book by William Blake
87.8	Heaven & Hell (song)|"Heaven & Hell" (song) a song by Raekwon, 1994
87.9	Heaven and Hell (essay)|Heaven and Hell (essay), a book by Aldous Huxley, sequel to The Doors of Perception
87.10	Heaven and Hell (Vangelis album)|Heaven and Hell (Vangelis album), or the title song
87.11	Heaven and Hell (The Who song)|"Heaven and Hell" (The Who song), 1970, also recorded by John Entwistle
87.12	Heaven and Hell (Allan Kardec)|Heaven and Hell (Allan Kardec), a book by Allan Kardec
87.13	Other Literature
87.14	Other Music
87.15	Other Albums
87.16	Other Film and television
88.1	Stand by Me (film)|Stand by Me (film), a 1986 American drama film directed by Rob Reiner
88.2	Stand by Me (song)|"Stand by Me" (song), a 1961 single by Ben E. King
88.3	Other Songs
88.4	Other
88.5	Other Music
88.6	"Stand by Me", a 2010 single by Prince Royce
88.7	Stand by Me (Shayne Ward song)|"Stand by Me" (Shayne Ward song), a 2006 single by Shayne Ward
88.8	Stand by Me: The Ultimate Collection, 1987 compilation album by Ben E. King
88.9	Stand by Me (Oasis song)|"Stand by Me" (Oasis song), a 1997 single by Oasis
89.1	Prince of Persia: The Sands of Time (film)|Prince of Persia: The Sands of Time (film), a 2010 film
89.2	Prince of Persia, the video game franchise
89.3	Prince of Persia (1989 video game)|Prince of Persia (1989 video game)
89.4	Prince of Persia (2008 video game)|Prince of Persia (2008 video game)
89.5	Other
89.6	Forgotten sands | Prince of Persia: The Forgotten Sands, a 2010 video game
89.7	Prince of Persia: The Sands of Time, a 2003 video game
89.8	Prince of Persia: The Two Thrones, a 2005 video game
89.9	Prince of Persia: Warrior Within, a 2004 video game
90.1	Billy the Kid was a notorious Western outlaw.
90.2	Billy the Kid (2007 film)|Billy the Kid (2007 film), a documentary directed by Jennifer Venditti
90.3	Other
90.4	Billy the Kid (1989 film)|Billy the Kid (1989 film), made for television movie starring Val Kilmer
90.5	Billy the Kid (ballet)|Billy the Kid (ballet), a 1938 ballet by American composer Aaron Copland
90.6	Billy the Kid (1930 film)|Billy the Kid (1930 film), a Hollywood film
90.7	"The Ballad of Billy the Kid", a 1973 song by Billy Joel
91.1	Dog Eat Dog (U.S. game show)|Dog Eat Dog (U.S. game show), the U.S. version of the UK show
91.2	Other
91.3	Dog Eat Dog (band), an American hardcore/rapcore group
91.4	"Dog Eat Dog", a song by Ted Nugent from Free-for-All (Ted Nugent album)|Free-for-All
91.5	Dog Eat Dog (Joni Mitchell album)|Dog Eat Dog (Joni Mitchell album), 1985
91.6	Dog Eat Dog (Mhlongo novel)|Dog Eat Dog (Mhlongo novel), a campus novel by Niq Mhlongo
91.7	Other Television show episodes
91.8	Dog Eat Dog (song)|"Dog Eat Dog" (song), a 1977 song by AC/DC
91.9	Dog Eat Dog, a novel by Edward Bunker
91.10	"Dog Eat Dog", a song by "Weird Al" Yankovic from Polka Party!
91.11	"Dog Eat Dog", a song by Adam and the Ants from Kings of the Wild Frontier
91.12	"Dog Eat Dog", a song by De La Soul from Stakes Is High
91.13	Dog Eat Dog (Warrant album)|Dog Eat Dog (Warrant album), 1992
91.14	Other Music
91.15	Other Literature
91.16	Dog Eat Dog, a novel by David J. Rodger
91.17	Other Film and television
91.18	Dog Eat Dog (2007 film)|Dog Eat Dog (2007 film), a 2007 Colombian film by director Carlos Moreno
91.19	Dog Eat Dog (2001 film)|Dog Eat Dog (2001 film), a 2001 UK film
92.1	Sense and Sensibility (film)|Sense and Sensibility (film) (1995), by Ang Lee
92.2	Sense and Sensibility is a novel by Jane Austen.
92.3	Sense and Sensibility (1981 TV serial)|Sense and Sensibility (1981 TV serial), by Rodney Bennett
92.4	Other
92.5	Sense and Sensibility and Sea Monsters (2009) a parody novel by Ben H. Winters
92.6	Sense and Sensibility (2008 TV serial)|Sense and Sensibility (2008 TV serial), by John Alexander
93.1	Soldier of Fortune (magazine)|Soldier of Fortune (magazine), a publication purportedly aimed at mercenaries
93.2	Soldier of Fortune (video game)|Soldier of Fortune (video game), a 2000 first-person shooter game created by Raven Software
93.3	Other
93.4	Soldier of Fortune (song)| Soldier of Fortune (song), a song by Deep Purple from their 1974 album Stormbringer, covered by Opeth, Black Majesty and Whitesnake
93.5	Soldier of Fortune, Inc., a 1997â1998 television show (later renamed Special Ops Force)
93.6	Soldier of Fortune (film)|Soldier of Fortune (film), a 1955 film starring Clark Gable, Susan Hayward, and Michael Rennie
93.7	Soldier of Fortune: Payback, the third installment of the Soldier of Fortune game series
93.8	Soldier of Fortune, a song by Thin Lizzy from their 1977 album Bad Reputation (Thin Lizzy album)|Bad Reputation
93.9	Soldiers of Fortune (film)|Soldiers of Fortune (film), an 2012 action film starring Sean Bean, Ving Rhames and Christian Slater
93.10	Soldier of Fortune II: Double Helix, sequel
93.11	Other Print
93.12	Soldier of Fortune, a song recorded by The Manhattan Transfer on their 1983 album Bodies and Souls
93.13	Other Media
94.1	One Tree Hill (TV series) One Tree Hill (TV series), an American television drama originally aired on the WB/CW network in 2003, named after the U2 song
94.2	Other
94.3	One Tree Hill (song) One Tree Hill (song), a 1987 song by rock band U2 referencing One Tree Hill, New Zealand
94.4	One Tree Hill, New Zealand, a volcanic peak and surrounding suburb in Auckland, New Zealand
95.1	Sisters of Mercy, a world-wide Catholic religious order founded by Catherine McAuley.
95.2	The Sisters of Mercy, a British rock band
95.3	Sisters of Mercy , a song by Leonard Cohen on the album Songs of Leonard Cohen
95.4	Other
96.1	Beauty and the Beast (1991 film)|Beauty and the Beast (1991 film), an animated Disney film
96.2	Beauty and the Beast is a traditional fairy tale.
96.3	Beauty and the Beast (2012 TV series)|Beauty and the Beast (2012 TV series), an American television series that will air on The CW in 2012
96.4	Beauty and the Beast (musical)|Beauty and the Beast (musical), a Broadway musical based on the film
96.5	Beauty and the Beast (1946 film)|Beauty and the Beast (1946 film) (La Belle et la BÃªte), a French film directed by Jean Cocteau
96.6	Beauty and the Beast (Disney song)|"Beauty and the Beast" (Disney song), a song from the film, performed by Celine Dion and Peabo Bryson
96.7	Other Television
96.8	Other
96.9	Beauty and the Beast (1987 TV series)|Beauty and the Beast (1987 TV series), an American television drama series aired on CBS in 1987
96.10	Other Film and theatre
97.1	Lord of the Flies is a novel by William Golding.
97.2	Lord of the Flies (1990 film)|Lord of the Flies (1990 film), based on the novel
97.3	Lord of the Flies (1963 film)|Lord of the Flies (1963 film), based on the novel
97.4	Other
97.5	Lord of the Flies (song)|"Lord of the Flies" (song), by Iron Maiden
97.6	Beelzebub, a satanic being.
98.1	The Battle of the Bulge was a major World War II German offensive.
98.2	Battle of the Bulge (film)|Battle of the Bulge (film), a 1965 film
98.3	Other
98.4	Axis & Allies: Battle of the Bulge, by Avalon Hill
99.1	The Da Vinci Code, the original 2003 novel by Dan Brown
99.2	The Da Vinci Code (film)|The Da Vinci Code (film), the 2006 film based on the novel
99.3	Criticisms of The Da Vinci Code|Criticisms of The Da Vinci Code, criticism and controversy around the novel
99.4	The Da Vinci Code (soundtrack)|The Da Vinci Code (soundtrack), a CD based on the music of the film
99.5	Other
99.6	The Da Vinci Code (video game)|The Da Vinci Code (video game), the 2006 game based on the novel, and timed for release with the movie
100.1	The Wizard of Oz (1939 film)|The Wizard of Oz (1939 film), its best-known adaptation
100.2	The Wonderful Wizard of Oz, a 1900 book by L. Frank Baum and W.W. Denslow
100.3	Other
100.4	The Wizard of Oz (1942 musical)|The Wizard of Oz (1942 musical)
100.5	The Wizard of Oz (1902 stage play)|The Wizard of Oz (1902 stage play), a musical by L. Frank Baum, Paul Tietjens and others
100.6	The_Wizard_of_Oz_(1933_film)|The Wizard of Oz (1933 animated film), directed by Ted Eshbaugh
100.7	Adaptations of The Wizard of Oz|Adaptations of The Wizard of Oz, including book, stage, film, television and game adaptations
100.8	Wizard of Oz (1925 film)|Wizard of Oz (1925 film), directed by Larry Semon
